fecha_id,fecha,anio,mes,nombre_mes,trimestre,anio_mes
20200101,2020-01-01,2020,1,enero,T1,2020-01
20200201,2020-02-01,2020,2,febrero,T1,2020-02
20200301,2020-03-01,2020,3,marzo,T1,2020-03
20200401,2020-04-01,2020,4,abril,T2,2020-04
20200501,2020-05-01,2020,5,mayo,T2,2020-05
20200601,2020-06-01,2020,6,junio,T2,2020-06
20200701,2020-07-01,2020,7,julio,T3,2020-07
20200801,2020-08-01,2020,8,agosto,T3,2020-08
20200901,2020-09-01,2020,9,septiembre,T3,2020-09
20201001,2020-10-01,2020,10,octubre,T4,2020-10
20201101,2020-11-01,2020,11,noviembre,T4,2020-11
20201201,2020-12-01,2020,12,diciembre,T4,2020-12
20210101,2021-01-01,2021,1,enero,T1,2021-01
20210201,2021-02-01,2021,2,febrero,T1,2021-02
20210301,2021-03-01,2021,3,marzo,T1,2021-03
20210401,2021-04-01,2021,4,abril,T2,2021-04
20210501,2021-05-01,2021,5,mayo,T2,2021-05
20210601,2021-06-01,2021,6,junio,T2,2021-06
20210701,2021-07-01,2021,7,julio,T3,2021-07
20210801,2021-08-01,2021,8,agosto,T3,2021-08
20210901,2021-09-01,2021,9,septiembre,T3,2021-09
20211001,2021-10-01,2021,10,octubre,T4,2021-10
20211101,2021-11-01,2021,11,noviembre,T4,2021-11
20211201,2021-12-01,2021,12,diciembre,T4,2021-12
20220101,2022-01-01,2022,1,enero,T1,2022-01
20220201,2022-02-01,2022,2,febrero,T1,2022-02
20220301,2022-03-01,2022,3,marzo,T1,2022-03
20220401,2022-04-01,2022,4,abril,T2,2022-04
20220501,2022-05-01,2022,5,mayo,T2,2022-05
20220601,2022-06-01,2022,6,junio,T2,2022-06
20220701,2022-07-01,2022,7,julio,T3,2022-07
20220801,2022-08-01,2022,8,agosto,T3,2022-08
20220901,2022-09-01,2022,9,septiembre,T3,2022-09
20221001,2022-10-01,2022,10,octubre,T4,2022-10
20221101,2022-11-01,2022,11,noviembre,T4,2022-11
20221201,2022-12-01,2022,12,diciembre,T4,2022-12
20230101,2023-01-01,2023,1,enero,T1,2023-01
20230201,2023-02-01,2023,2,febrero,T1,2023-02
20230301,2023-03-01,2023,3,marzo,T1,2023-03
20230401,2023-04-01,2023,4,abril,T2,2023-04
20230501,2023-05-01,2023,5,mayo,T2,2023-05
20230601,2023-06-01,2023,6,junio,T2,2023-06
20230701,2023-07-01,2023,7,julio,T3,2023-07
20230801,2023-08-01,2023,8,agosto,T3,2023-08
20230901,2023-09-01,2023,9,septiembre,T3,2023-09
20231001,2023-10-01,2023,10,octubre,T4,2023-10
20231101,2023-11-01,2023,11,noviembre,T4,2023-11
20231201,2023-12-01,2023,12,diciembre,T4,2023-12
20240101,2024-01-01,2024,1,enero,T1,2024-01
20240201,2024-02-01,2024,2,febrero,T1,2024-02
20240301,2024-03-01,2024,3,marzo,T1,2024-03
20240401,2024-04-01,2024,4,abril,T2,2024-04
20240501,2024-05-01,2024,5,mayo,T2,2024-05
20240601,2024-06-01,2024,6,junio,T2,2024-06
20240701,2024-07-01,2024,7,julio,T3,2024-07
20240801,2024-08-01,2024,8,agosto,T3,2024-08
20240901,2024-09-01,2024,9,septiembre,T3,2024-09
20241001,2024-10-01,2024,10,octubre,T4,2024-10
20241101,2024-11-01,2024,11,noviembre,T4,2024-11
20241201,2024-12-01,2024,12,diciembre,T4,2024-12
20250101,2025-01-01,2025,1,enero,T1,2025-01
20250201,2025-02-01,2025,2,febrero,T1,2025-02
20250301,2025-03-01,2025,3,marzo,T1,2025-03
20250401,2025-04-01,2025,4,abril,T2,2025-04
20250501,2025-05-01,2025,5,mayo,T2,2025-05
20250601,2025-06-01,2025,6,junio,T2,2025-06
20250701,2025-07-01,2025,7,julio,T3,2025-07
20250801,2025-08-01,2025,8,agosto,T3,2025-08
20250901,2025-09-01,2025,9,septiembre,T3,2025-09
20251001,2025-10-01,2025,10,octubre,T4,2025-10
20251101,2025-11-01,2025,11,noviembre,T4,2025-11
20251201,2025-12-01,2025,12,diciembre,T4,2025-12
20260101,2026-01-01,2026,1,enero,T1,2026-01
20260201,2026-02-01,2026,2,febrero,T1,2026-02
20260301,2026-03-01,2026,3,marzo,T1,2026-03
20260401,2026-04-01,2026,4,abril,T2,2026-04
20260501,2026-05-01,2026,5,mayo,T2,2026-05
20260601,2026-06-01,2026,6,junio,T2,2026-06
